學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,109,74,105,65,72,55,82,51,90,47,68,37,64,44,0,0,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,655,754,569,655,346,431,210,262,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,993,1199,864,1398,846,1398,871,1387,0,0,0,0,0,0,365,415,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,287,286,298,220,187,148,82,61,49,48,0,0,0,0,0,0,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,230,60,219,54,200,46,182,50,171,47,145,40,163,47,23,4,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,1133,528,1101,482,346,193,117,83,0,0,0,0,0,0,4,0,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,950,574,972,529,979,531,990,497,0,0,0,0,0,0,211,82,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,103,49,70,46,20,23,14,7,0,0,0,0,0,0,11,9,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,456,200,441,173,378,161,434,163,397,180,314,143,374,151,0,0,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,2457,1509,2332,1432,898,603,449,389,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,2075,1579,2109,1674,2076,1579,2109,1593,164,86,139,42,99,31,670,507,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,259,165,265,130,142,73,67,26,24,10,21,9,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,P 進,B 學士,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,134,130,122,98,109,114,104,93,91,85,88,68,78,74,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,590,759,559,669,296,473,197,380,0,0,0,0,0,0,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,849,1070,810,1090,785,1074,706,1031,0,0,0,0,0,0,249,255,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,138,310,129,314,92,191,38,117,45,90,39,61,0,0,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,S 暑,M 碩士,7,27,25,81,7,42,5,53,7,30,2,1,0,0,0,0,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,271,105,216,102,199,83,230,82,235,82,208,72,217,62,6,1,21 臺南市,1 一般
0005,國立成功大學,D 日,M 碩士,1835,975,1681,878,450,302,149,142,0,0,0,0,0,0,2,8,21 臺南市,1 一般
0005,國立成功大學,D 日,B 學士,1729,981,1705,1001,1653,964,1634,909,78,62,54,19,51,19,396,147,21 臺南市,1 一般
0005,國立成功大學,N 職,M 碩士,275,167,239,142,178,86,73,22,47,12,0,0,0,0,0,0,21 臺南市,1 一般
0006,國立中興大學,D 日,D 博士,99,43,117,48,118,39,118,45,120,46,114,42,113,46,7,1,19 臺中市,1 一般
0006,國立中興大學,D 日,M 碩士,872,531,869,508,231,148,92,72,0,0,0,0,0,0,0,1,19 臺中市,1 一般
0006,國立中興大學,D 日,B 學士,1166,783,1125,815,1167,807,1116,800,32,34,0,0,0,0,189,80,19 臺中市,1 一般
0006,國立中興大學,N 職,M 碩士,361,176,326,164,203,74,128,32,71,28,0,0,0,0,0,0,19 臺中市,1 一般
0006,國立中興大學,P 進,B 學士,105,134,96,125,79,140,71,138,55,70,0,0,0,0,9,2,19 臺中市,1 一般
0007,國立交通大學,D 日,D 博士,253,78,247,55,219,46,200,34,186,49,189,36,175,27,35,7,18 新竹市,1 一般
0007,國立交通大學,D 日,M 碩士,1426,612,1373,570,771,307,168,105,0,0,0,0,0,0,1,1,18 新竹市,1 一般
0007,國立交通大學,D 日,B 學士,944,384,946,411,913,399,851,398,0,0,0,0,0,0,154,37,18 新竹市,1 一般
0007,國立交通大學,N 職,M 碩士,345,155,251,127,217,60,129,52,0,0,0,0,0,0,106,34,18 新竹市,1 一般
0008,國立中央大學,D 日,D 博士,143,58,126,51,114,31,126,28,106,36,91,39,106,33,8,0,03 桃園市,1 一般
0008,國立中央大學,D 日,M 碩士,1009,482,916,408,317,114,79,74,0,0,0,0,0,0,1,1,03 桃園市,1 一般
0008,國立中央大學,D 日,B 學士,965,530,961,539,906,531,962,488,0,0,0,0,0,0,182,53,03 桃園市,1 一般
0008,國立中央大學,N 職,M 碩士,311,226,311,158,129,54,73,24,48,13,0,0,0,0,1,0,03 桃園市,1 一般
0009,國立中山大學,D 日,D 博士,98,47,81,44,91,34,96,45,81,31,76,25,69,34,0,0,50 高雄市,1 一般
0009,國立中山大學,D 日,M 碩士,770,414,708,361,298,172,116,77,0,0,0,0,0,0,0,1,50 高雄市,1 一般
0009,國立中山大學,D 日,B 學士,717,420,700,445,697,405,679,384,0,0,0,0,0,0,168,66,50 高雄市,1 一般
0009,國立中山大學,N 職,M 碩士,180,145,165,142,48,55,24,26,0,0,0,0,0,0,37,17,50 高雄市,1 一般
0009,國立中山大學,S 暑,M 碩士,0,2,1,4,0,4,2,5,0,0,0,0,0,0,2,3,50 高雄市,1 一般
0012,國立臺灣海洋大學,D 日,D 博士,39,18,46,8,27,12,28,8,27,12,33,7,31,7,17,1,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,M 碩士,449,190,392,175,132,51,29,7,0,0,0,0,0,0,3,3,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,B 學士,974,406,940,441,911,433,912,415,0,0,0,0,0,0,166,28,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 職,M 碩士,142,108,132,80,48,18,20,10,6,3,1,1,0,0,0,0,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 修,X 4+X,84,8,40,1,1,0,0,0,0,0,0,0,0,0,0,0,17 基隆市,1 一般
0012,國立臺灣海洋大學,P 進,B 學士,87,49,60,51,72,49,63,50,24,16,0,0,0,0,5,2,17 基隆市,1 一般
0013,國立中正大學,D 日,D 博士,73,39,63,27,51,28,59,26,53,18,50,20,51,30,3,0,10 嘉義縣,1 一般
0013,國立中正大學,D 日,M 碩士,696,380,660,356,260,168,127,115,0,0,0,0,0,0,0,4,10 嘉義縣,1 一般
0013,國立中正大學,D 日,B 學士,909,738,892,759,828,771,829,764,0,0,0,0,0,0,169,68,10 嘉義縣,1 一般
0013,國立中正大學,N 職,M 碩士,268,248,221,255,95,109,95,60,135,109,0,0,0,0,0,0,10 嘉義縣,1 一般
