學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,949,526,423,87,58,89,80,81,69,76,78,72,42,52,41,69,55,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,"4,004","1,832","2,172",615,756,619,691,344,436,254,289,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,"9,632","4,019","5,613",962,"1,257",916,"1,316",905,"1,325",883,"1,334",-,-,-,-,-,-,353,381,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,"1,766",905,861,295,269,263,248,173,165,102,118,72,61,-,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,"1,615","1,170",445,211,91,215,82,186,86,145,57,140,48,106,31,167,50,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,"5,358","3,295","2,063","1,385",791,"1,204",713,518,309,183,216,4,19,1,15,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,"8,625","4,694","3,931","1,180","1,018","1,113",946,"1,094",873,"1,041",926,-,-,-,-,-,-,266,168,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,3,2,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,"1,316",447,869,166,281,173,256,45,118,20,84,22,53,8,32,13,45,-,-,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,"3,545","2,471","1,074",493,220,433,174,331,165,335,157,312,119,229,103,338,136,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,"10,551","6,301","4,250","2,547","1,626","2,333","1,551",915,651,506,422,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,"16,756","9,444","7,312","2,086","1,672","2,162","1,697","2,092","1,543","2,042","1,638",205,127,142,70,-,-,715,565,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,"1,675","1,037",638,351,233,342,243,194,101,62,25,45,14,43,22,-,-,-,-,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,"1,363",641,722,102,138,95,110,85,107,115,111,88,102,75,88,81,66,-,-,30 臺北市,3 師範
